,name,id,cv_gt,cv_gk,cv_tk,cv_gtk,tv_gt,tv_gk,tv_tk,tv_gtk,cv_gtkn,cv_gtky,cv_gtkd
275,AstronTycoon,100527,1,1,0,1,1,1,0,1,1,1,1
276,"Warhammer 40,000: Sanctus Reach",26705,0,0,0,1,0,0,0,1,1,1,1
277,The Legacy: Forgotten Gates,55546,1,1,0,1,1,1,0,1,1,1,1
278,Shock Troopers,35377,0,0,0,0,0,0,0,0,0,0,0
279,The Walking Dead: A New Frontier,19000,2,2,2,2,2,2,2,2,2,3,3
280,Disgaea PC,34392,1,1,1,1,1,1,1,1,1,1,1
281,Call of Duty: Modern Warfare 2,559,1,1,1,1,0,2,1,2,2,2,2
282,Legendary Gary,76560,0,0,0,0,0,0,0,0,0,0,0
283,Hand of the Gods,65837,0,0,0,0,0,0,0,0,0,0,0
284,Bladestorm: Nightmare,19927,0,0,0,0,0,0,0,0,0,0,0
285,Teddy Floppy Ear: Kayaking,36003,0,1,0,1,0,1,0,0,1,1,1
286,Magic: The Gathering,12443,1,1,0,0,1,1,0,1,0,0,0
287,Space Fist,29681,0,0,0,0,0,0,0,0,0,0,0
288,The Lost Heir: The Fall of Daria,33594,2,0,0,0,0,0,0,0,0,0,0
289,Dreaming Mary,58386,0,0,0,0,0,0,0,0,0,0,0
290,Celestial Crossing,29983,0,0,0,0,0,0,0,0,0,0,0
291,Marble Land,74971,0,0,0,0,0,0,0,0,0,0,0
292,Felis: Cat Saving Platformer,30106,0,0,0,0,0,0,0,0,0,0,0
293,Amber's Airline: High Hopes,107743,0,0,0,0,0,0,0,0,0,0,0
294,TransOcean 2: Rivals,35728,0,0,0,0,0,0,0,0,0,0,0
295,Heaven Forest Nights,35430,0,0,0,0,0,0,0,0,0,0,0
296,Resident Evil 5,847,0,1,1,1,0,2,1,2,1,1,1
297,Montaro : RE,111677,0,0,0,0,0,0,0,0,0,0,0
298,DinerTown Detective Agency,15001,0,0,0,0,0,0,0,0,0,0,0
